run_name,frame_dose_rate,tilt_series_max_angle,tilt_series_quality_score,tilt_series_tilt_step,tomo-align_software,tomo-processing_software,tomo-reconstruction_method,tomo-reconstruction_software,tomo-voxel_spacing,ts-tilt_alignment_software,ts-tilt_range-max,ts-tilt_step,ts-total_flux
dga2017-05-10-72,110.0,60.0,4.0,2.0,RAPTOR,,WBP,IMOD,16.145,RAPTOR,60.0,2.0,110.0
dga2017-05-10-73,110.0,60.0,4.0,2.0,RAPTOR,,WBP,IMOD,16.145,RAPTOR,60.0,2.0,110.0
dga2017-05-10-75,110.0,60.0,4.0,2.0,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D,60.0,2.0,110.0
dga2017-05-10-76,110.0,60.0,4.0,2.0,RAPTOR,,WBP,IMOD,16.145,RAPTOR,60.0,2.0,110.0
dga2017-05-10-77,110.0,60.0,4.0,2.0,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D,60.0,2.0,110.0
dga2017-05-10-78,110.0,60.0,4.0,2.0,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D,60.0,2.0,110.0
dga2017-05-10-79,110.0,60.0,4.0,2.0,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D,60.0,2.0,110.0
dga2017-05-10-80,110.0,60.0,4.0,2.0,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D,60.0,2.0,110.0
dga2017-05-10-82,110.0,60.0,4.0,2.0,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D,60.0,2.0,110.0
dga2017-05-10-83,110.0,60.0,4.0,2.0,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D,60.0,2.0,110.0
dga2017-05-10-84,110.0,60.0,4.0,2.0,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D,60.0,2.0,110.0
dga2017-05-10-85,110.0,60.0,4.0,2.0,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D,60.0,2.0,110.0
dga2017-05-10-87,110.0,60.0,4.0,2.0,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D,60.0,2.0,110.0
dga2017-05-10-88,110.0,60.0,4.0,2.0,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D,60.0,2.0,110.0
dga2017-05-10-89,110.0,60.0,4.0,2.0,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D,60.0,2.0,110.0
dga2017-05-10-90,110.0,60.0,4.0,2.0,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D,60.0,2.0,110.0
dga2017-05-10-91,110.0,60.0,4.0,2.0,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D,60.0,2.0,110.0
dga2017-05-10-92,110.0,60.0,4.0,2.0,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D,60.0,2.0,110.0
dga2017-05-10-93,110.0,60.0,4.0,2.0,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D,60.0,2.0,110.0
dga2017-05-10-94,110.0,60.0,4.0,2.0,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D,60.0,2.0,110.0
dga2017-05-10-95,110.0,60.0,4.0,2.0,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D,60.0,2.0,110.0
dga2017-05-10-96,110.0,60.0,4.0,2.0,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D,60.0,2.0,110.0
