run_name,tilt_series_min_angle,tilt_series_quality_score,tomo-align_software,tomo-fiducial_alignment_status,tomo-reconstruction_method,tomo-reconstruction_software,tomo-voxel_spacing,ts-camera-acquire_mode,ts-camera-model,ts-tilt_alignment_software,ts-tilt_range-min,ts-tilt_series_quality
cwl2011-11-13-27,-60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,,UltraCam,RAPTOR,-60.0,4
cwl2011-11-13-28,-60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,,UltraCam,RAPTOR,-60.0,4
cwl2011-11-13-29,-60.0,1.0,,NON_FIDUCIAL,,,,,UltraCam,,-60.0,1
cwl2011-11-13-30,-60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,,UltraCam,RAPTOR,-60.0,4
cwl2011-11-13-31,-60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,,UltraCam,RAPTOR,-60.0,4
cwl2011-11-13-32,-60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,,UltraCam,RAPTOR,-60.0,4
cwl2011-11-13-33,-60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,,UltraCam,RAPTOR,-60.0,4
cwl2011-11-13-34,-60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,,UltraCam,RAPTOR,-60.0,4
cwl2011-11-12-24,0.0,2.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,,UltraCam,RAPTOR,0.0,2
cwl2011-11-12-25,0.0,2.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,,UltraCam,RAPTOR,0.0,2
cwl2011-11-12-26,0.0,2.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,,UltraCam,RAPTOR,0.0,2
cwl2011-11-12-27,0.0,2.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,,UltraCam,RAPTOR,0.0,2
cwl2011-11-12-28,0.0,2.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,,UltraCam,RAPTOR,0.0,2
