run_name,frame_dose_rate,tomo-align_software,tomo-fiducial_alignment_status,tomo-reconstruction_method,tomo-reconstruction_software,tomo-voxel_spacing,ts-pixel_spacing,ts-tilt_alignment_software,ts-tilt_range-max,ts-tilt_range-min,ts-tilt_series_quality,ts-tilt_step,ts-total_flux
ycw2017-07-06-104,1.487603305785124,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,4.036,RAPTOR,60.0,-60.0,4,1.0,180.0
ycw2017-07-06-105,1.487603305785124,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,4.036,RAPTOR,60.0,-60.0,4,1.0,180.0
ycw2017-07-06-106,1.487603305785124,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,4.036,RAPTOR,60.0,-60.0,4,1.0,180.0
ycw2017-07-06-107,1.487603305785124,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,4.036,RAPTOR,60.0,-60.0,4,1.0,180.0
ycw2017-07-06-108,1.487603305785124,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,4.036,RAPTOR,60.0,-60.0,4,1.0,180.0
ycw2017-07-06-109,1.487603305785124,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,4.036,RAPTOR,60.0,-60.0,4,1.0,180.0
ycw2017-07-06-110,1.487603305785124,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,4.036,RAPTOR,60.0,-60.0,4,1.0,180.0
ycw2017-07-06-111,1.487603305785124,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,4.036,RAPTOR,60.0,-60.0,4,1.0,180.0
ycw2017-07-06-112,1.487603305785124,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,4.036,RAPTOR,60.0,-60.0,4,1.0,180.0
ycw2017-07-06-113,1.487603305785124,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,4.036,RAPTOR,60.0,-60.0,4,1.0,180.0
ycw2017-07-06-114,1.487603305785124,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,4.036,RAPTOR,60.0,-60.0,4,1.0,180.0
ycw2017-07-06-115,1.487603305785124,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,4.036,RAPTOR,60.0,-60.0,4,1.0,180.0
ycw2017-07-06-116,1.487603305785124,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,4.036,RAPTOR,60.0,-60.0,4,1.0,180.0
ycw2017-07-06-117,1.487603305785124,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,4.036,RAPTOR,60.0,-60.0,4,1.0,180.0
ycw2017-07-06-118,1.487603305785124,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,4.036,RAPTOR,60.0,-60.0,4,1.0,180.0
ycw2017-07-06-119,1.487603305785124,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,4.036,RAPTOR,60.0,-60.0,4,1.0,180.0
ycw2017-07-06-120,1.487603305785124,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,4.036,RAPTOR,60.0,-60.0,4,1.0,180.0
ycw2017-07-06-121,1.487603305785124,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,4.036,RAPTOR,60.0,-60.0,4,1.0,180.0
ycw2017-07-06-122,1.487603305785124,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,4.036,RAPTOR,60.0,-60.0,4,1.0,180.0
ycw2017-07-06-123,1.487603305785124,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,4.036,RAPTOR,60.0,-60.0,4,1.0,180.0
ycw2017-07-06-124,1.487603305785124,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,4.036,RAPTOR,60.0,-60.0,4,1.0,180.0
ycw2017-07-06-125,1.487603305785124,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,4.036,RAPTOR,60.0,-60.0,4,1.0,180.0
